record_id,user_id,date,day_of_week,activity_type,planned_time_hrs,actual_time_hrs,completion_status,interruption_count,energy_level,mood,remarks,invalid_time_flag,energy_missing_flag,duplicate_flag,efficiency,burnout_risk,high_interruption_flag
1,101,2025-11-01,mon,study,3.0,2.5,yes,2,4.0,high,good focus,False,False,False,0.8333333333333334,0,False
2,101,2025-11-02,tue,study,2.0,3.0,yes,5,3.0,neutral,overstudied,False,False,False,1.5,0,True
3,101,2025-11-03,wed,study,3.0,1.5,no,7,3.0,low,lack of focus,False,True,False,0.5,0,True
4,101,2025-11-04,thu,work,4.0,4.5,yes,1,5.0,high,productive day,False,False,False,1.125,0,False
5,101,2025-11-05,fri,rest,1.0,0.5,no,3,2.0,low,tired,False,False,False,0.5,0,False
6,102,2025-11-01,mon,study,2.0,2.0,yes,0,4.0,neutral,ok,False,False,False,1.0,0,False
7,102,2025-11-02,tue,work,5.0,6.0,yes,4,3.0,low,extra work,False,False,False,1.2,0,False
8,102,2025-11-03,wed,study,3.0,2.0,no,6,4.0,neutral,distractions,False,True,False,0.6666666666666666,0,True
9,102,2025-11-04,thu,study,2.5,2.5,yes,1,5.0,high,smooth,False,False,False,1.0,0,False
10,102,2025-11-05,fri,rest,1.0,2.0,yes,0,4.0,high,relaxed,False,False,False,2.0,0,False
11,101,2025-11-06,sat,study,4.0,3.0,yes,2,4.0,neutral,steady,False,False,False,0.75,0,False
12,101,2025-11-07,sun,work,3.0,1.0,no,8,2.0,low,lazy mood,False,False,False,0.3333333333333333,0,True
13,102,2025-11-06,sat,study,2.0,2.5,yes,1,3.0,neutral,minor typo,False,False,False,1.25,0,False
14,102,2025-11-07,sun,rest,2.0,1.0,no,5,4.0,low,skipped,False,True,False,0.5,0,True
15,101,2025-11-08,mon,study,3.0,4.0,yes,3,3.0,high,pushed hard,False,False,True,1.3333333333333333,0,False
16,101,2025-11-09,tue,study,3.0,2.0,no,6,2.0,low,low energy,False,False,True,0.6666666666666666,0,True
17,102,2025-11-08,mon,work,4.0,4.0,yes,2,5.0,high,consistent,False,False,False,1.0,0,False
18,102,2025-11-09,tue,study,2.0,1.5,no,4,3.0,neutral,slow start,False,False,False,0.75,0,False
